ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	33217	1	0	0.000000	177.117861	177.064876	0.000000	0.000000	0	0	0
2	7474	1	2	0.000000	176.777362	176.777362	0.000000	0.000000	0	0	0
3	5563	1	0	0.000000	170.119360	170.119360	0.000000	0.000000	0	0	0
4	11	1	2	0.000000	901.909091	901.909091	0.000000	0.000000	0	0	0
5	109	2	2	0.000000	1079.211009	1002.605505	0.000000	0.000000	0	0	0
6	28	1	1	0.000000	217.357143	217.357143	0.000000	0.000000	0	0	0
7	3	1	2	0.000000	220.666667	220.666667	0.000000	0.000000	0	0	0
8	6	2	2	0.000000	205.666667	205.666667	0.000000	0.000000	0	0	0
9	31	1	1	0.000000	211.032258	211.032258	0.000000	0.000000	0	0	0
10	14518	1	2	0.000000	235.298182	234.718763	0.000000	0.000000	0	0	0
11	35	1	1	0.000000	308.457143	308.457143	0.000000	0.000000	0	0	0
12	7	2	2	0.000000	439.714286	439.714286	0.000000	0.000000	0	0	0
13	1	2	1	0.000000	319.000000	319.000000	0.000000	0.000000	0	0	0
14	30	1	1	0.000000	161.700000	161.700000	0.000000	0.000000	0	0	0
15	12	2	2	0.000000	451.166667	451.166667	0.000000	0.000000	0	0	0
16	26	1	1	0.000000	914.230769	914.230769	0.000000	0.000000	0	0	0
17	5	2	2	0.000000	967.000000	967.000000	0.000000	0.000000	0	0	0
18	31	1	2	0.000000	995.258065	995.258065	0.000000	0.000000	0	0	0
19	123	2	2	0.000000	1104.292683	1076.707317	0.000000	0.000000	0	0	0
20	31	1	1	0.000000	717.096774	717.096774	0.000000	0.000000	0	0	0
21	37	1	1	0.000000	20.756757	20.756757	0.000000	0.000000	0	0	0
22	31	2	1	0.000000	130.709677	130.709677	0.000000	0.000000	0	0	0
23	3	2	1	0.000000	694.333333	506.333333	0.000000	0.000000	0	0	0
24	38615	1	3	0.000000	181.007432	180.884268	0.000000	0.000000	0	0	0
25	8	2	1	0.000000	295.000000	295.000000	0.000000	0.000000	0	0	0
26	23	1	1	0.000000	123.217391	123.217391	0.000000	0.000000	0	0	0
27	9	1	1	0.000000	662.333333	20.000000	0.000000	0.000000	0	0	0
28	9	1	1	0.000000	8.444444	8.444444	0.000000	0.000000	0	0	0
29	13	1	1	0.000000	3.000000	3.000000	0.000000	0.000000	0	0	0
30	9	1	1	0.000000	1.555556	1.555556	0.000000	0.000000	0	0	0
31	12	1	1	0.000000	5.750000	5.750000	0.000000	0.000000	0	0	0
32	31	1	2	0.000000	1.161290	1.161290	0.000000	0.000000	0	0	0
