ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	126	0	0	0.000000	1.285714	1.285714	0.000000	0.000000	0	0	0
2	116	0	0	0.000000	1.620690	1.620690	0.000000	0.000000	0	0	0
3	70	0	0	0.000000	1.700000	1.700000	0.000000	0.000000	0	0	0
4	74	0	0	0.000000	1.162162	1.162162	0.000000	0.000000	0	0	0
5	169	0	0	0.000000	2.792899	2.792899	0.000000	0.000000	0	0	0
6	70	0	0	0.000000	2.842857	2.842857	0.000000	0.000000	0	0	0
7	231	0	0	0.000000	2.121212	2.121212	0.000000	0.000000	0	0	0
8	131	0	0	0.000000	2.137405	2.137405	0.000000	0.000000	0	0	0
9	122	0	0	0.000000	2.147541	2.147541	0.000000	0.000000	0	0	0
10	86	0	0	0.000000	1.476744	1.476744	0.000000	0.000000	0	0	0
11	190	0	0	0.000000	1.473684	1.473684	0.000000	0.000000	0	0	0
12	184	0	0	0.000000	2.103261	2.103261	0.000000	0.000000	0	0	0
13	91	0	0	0.000000	1.956044	1.956044	0.000000	0.000000	0	0	0
14	88	0	0	0.000000	1.522727	1.522727	0.000000	0.000000	0	0	0
15	681	0	0	0.000000	3.446402	3.368576	0.000000	0.000000	0	0	0
16	65	0	0	0.000000	1.646154	1.646154	0.000000	0.000000	0	0	0
17	221	0	0	0.000000	2.117647	2.117647	0.000000	0.000000	0	0	0
18	125	0	0	0.000000	2.760000	2.760000	0.000000	0.000000	0	0	0
19	229	0	0	0.000000	2.082969	2.082969	0.000000	0.000000	0	0	0
20	73	0	0	0.000000	1.808219	1.808219	0.000000	0.000000	0	0	0
21	117	0	0	0.000000	1.581197	1.581197	0.000000	0.000000	0	0	0
22	104	0	0	0.000000	1.759615	1.759615	0.000000	0.000000	0	0	0
23	65	0	0	0.000000	2.046154	2.046154	0.000000	0.000000	0	0	0
24	129	0	0	0.000000	1.503876	1.503876	0.000000	0.000000	0	0	0
25	152	0	0	0.000000	1.618421	1.618421	0.000000	0.000000	0	0	0
26	152	0	0	0.000000	2.289474	2.289474	0.000000	0.000000	0	0	0
27	199	0	0	0.000000	1.708543	1.708543	0.000000	0.000000	0	0	0
28	70	0	0	0.000000	1.928571	1.928571	0.000000	0.000000	0	0	0
29	70	0	0	0.000000	1.157143	1.157143	0.000000	0.000000	0	0	0
30	70	0	0	0.000000	2.157143	2.157143	0.000000	0.000000	0	0	0
31	105	0	0	0.000000	3.047619	3.047619	0.000000	0.000000	0	0	0
32	126	0	0	0.000000	2.650794	2.650794	0.000000	0.000000	0	0	0
33	108	0	0	0.000000	1.879630	1.879630	0.000000	0.000000	0	0	0
34	105	0	0	0.000000	1.333333	1.333333	0.000000	0.000000	0	0	0
35	110	0	0	0.000000	1.236364	1.236364	0.000000	0.000000	0	0	0
36	149	0	0	0.000000	1.879195	1.879195	0.000000	0.000000	0	0	0
37	260	0	0	0.000000	1.823077	1.823077	0.000000	0.000000	0	0	0
38	70	0	0	0.000000	1.385714	1.385714	0.000000	0.000000	0	0	0
39	331	0	0	0.000000	1.791541	1.791541	0.000000	0.000000	0	0	0
40	74	0	0	0.000000	2.554054	2.554054	0.000000	0.000000	0	0	0
41	109	0	0	0.000000	1.321101	1.321101	0.000000	0.000000	0	0	0
42	70	0	0	0.000000	2.271429	2.271429	0.000000	0.000000	0	0	0
43	113	0	0	0.000000	1.221239	1.221239	0.000000	0.000000	0	0	0
44	100	0	0	0.000000	1.630000	1.630000	0.000000	0.000000	0	0	0
45	70	0	0	0.000000	1.200000	1.200000	0.000000	0.000000	0	0	0
46	125	0	0	0.000000	1.568000	1.568000	0.000000	0.000000	0	0	0
47	120	0	0	0.000000	2.158333	2.158333	0.000000	0.000000	0	0	0
48	70	0	0	0.000000	2.042857	2.042857	0.000000	0.000000	0	0	0
49	140	0	0	0.000000	2.142857	2.142857	0.000000	0.000000	0	0	0
50	193	0	0	0.000000	2.150259	2.150259	0.000000	0.000000	0	0	0
51	66	0	0	0.000000	1.681818	1.681818	0.000000	0.000000	0	0	0
52	118	0	0	0.000000	1.008475	1.008475	0.000000	0.000000	0	0	0
53	101	0	0	0.000000	1.247525	1.247525	0.000000	0.000000	0	0	0
54	91	0	0	0.000000	1.318681	1.318681	0.000000	0.000000	0	0	0
55	63	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
