ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	33217	0	1	0.000000	172.549719	172.482765	0.000000	0.000000	0	0	0
2	7474	2	1	0.000000	173.121086	173.121086	0.000000	0.000000	0	0	0
3	5563	0	1	0.000000	165.974654	165.974654	0.000000	0.000000	0	0	0
4	14835	2	1	0.000000	249.198247	247.413953	0.000000	0.000000	0	0	0
5	20	2	2	0.000000	439.150000	381.050000	0.000000	0.000000	0	0	0
6	12	3	1	0.000000	298.000000	152.750000	0.000000	0.000000	0	0	0
7	11	1	1	0.000000	141.272727	141.272727	0.000000	0.000000	0	0	0
8	19	1	2	0.000000	568.631579	568.631579	0.000000	0.000000	0	0	0
9	13	1	1	0.000000	253.000000	253.000000	0.000000	0.000000	0	0	0
10	22	1	2	0.000000	262.272727	262.272727	0.000000	0.000000	0	0	0
11	28	1	1	0.000000	155.678571	155.678571	0.000000	0.000000	0	0	0
12	7	2	2	0.000000	417.714286	417.714286	0.000000	0.000000	0	0	0
13	1	2	1	0.000000	267.000000	267.000000	0.000000	0.000000	0	0	0
14	38593	2	1	0.000000	176.560361	176.507268	0.000000	0.000000	0	0	0
15	3	2	1	0.000000	487.666667	487.666667	0.000000	0.000000	0	0	0
16	19	2	1	0.000000	520.315789	520.315789	0.000000	0.000000	0	0	0
17	9	1	1	0.000000	451.000000	451.000000	0.000000	0.000000	0	0	0
18	3	1	2	0.000000	482.333333	482.333333	0.000000	0.000000	0	0	0
19	9	1	1	0.000000	160.444444	160.444444	0.000000	0.000000	0	0	0
20	3	1	2	0.000000	160.333333	160.333333	0.000000	0.000000	0	0	0
21	19	1	2	0.000000	165.368421	165.368421	0.000000	0.000000	0	0	0
22	6	2	2	0.000000	155.833333	155.833333	0.000000	0.000000	0	0	0
23	22	2	1	0.000000	53.681818	53.681818	0.000000	0.000000	0	0	0
24	9	1	1	0.000000	7.888889	7.888889	0.000000	0.000000	0	0	0
25	10	1	1	0.000000	135.700000	135.700000	0.000000	0.000000	0	0	0
26	19	2	1	0.000000	27.789474	27.789474	0.000000	0.000000	0	0	0
27	12	1	1	0.000000	6.500000	6.500000	0.000000	0.000000	0	0	0
28	3	2	1	0.000000	155.000000	155.000000	0.000000	0.000000	0	0	0
29	12	1	1	0.000000	6.500000	6.500000	0.000000	0.000000	0	0	0
30	9	1	1	0.000000	17.222222	17.222222	0.000000	0.000000	0	0	0
31	13	1	1	0.000000	2.384615	2.384615	0.000000	0.000000	0	0	0
32	31	1	1	0.000000	2.419355	1.806452	0.000000	0.000000	0	0	0
33	9	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
