(array([98890000, 98900000], dtype=int32), array([101300000, 101310000], dtype=int32))
(array([98980000, 98990000], dtype=int32), array([102370000, 102380000], dtype=int32))
(array([99010000, 99020000], dtype=int32), array([102080000, 102090000], dtype=int32))
(array([99130000, 99140000], dtype=int32), array([102420000, 102430000], dtype=int32))
(array([99140000, 99150000], dtype=int32), array([102600000, 102610000], dtype=int32))
(array([99250000, 99260000], dtype=int32), array([102750000, 102760000], dtype=int32))
(array([99260000, 99270000], dtype=int32), array([103160000, 103170000], dtype=int32))
(array([99380000, 99390000], dtype=int32), array([101550000, 101560000], dtype=int32))
(array([99410000, 99420000], dtype=int32), array([102340000, 102350000], dtype=int32))
(array([99920000, 99930000], dtype=int32), array([98830000, 98840000], dtype=int32))
(array([100120000, 100130000], dtype=int32), array([98830000, 98840000], dtype=int32))
(array([100380000, 100390000], dtype=int32), array([102050000, 102060000], dtype=int32))
(array([100660000, 100670000], dtype=int32), array([102620000, 102630000], dtype=int32))
(array([100810000, 100820000], dtype=int32), array([103310000, 103320000], dtype=int32))
(array([101110000, 101120000], dtype=int32), array([100180000, 100190000], dtype=int32))
(array([102310000, 102320000], dtype=int32), array([103410000, 103420000], dtype=int32))
(array([102950000, 102960000], dtype=int32), array([101340000, 101350000], dtype=int32))
(array([103150000, 103160000], dtype=int32), array([101300000, 101310000], dtype=int32))
(array([103220000, 103230000], dtype=int32), array([98830000, 98840000], dtype=int32))
(array([103360000, 103370000], dtype=int32), array([101950000, 101960000], dtype=int32))
