P32234 	 FBgn0010339
P92177 	 FBgn0020238
P29310 	 FBgn0004907
P81928 	 FBgn0010340
P04283 	 FBgn0027624
P04282 	 FBgn0044339
P04323 	 FBgn0014453
P20829 	 FBgn0027623
P20828 	 FBgn0044338
P20825 	 FBgn0027622
P10394 	 FBgn0043847
P28285 	 FBgn0004168
P28286 	 FBgn0263116
P20905 	 FBgn0004573
P54185 	 FBgn0011294
O46341 	 FBgn0023130
Q27377 	 FBgn0011293
Q9V431 	 FBgn0027885
Q9VM95 	 FBgn0031851
Q9VLM8 	 FBgn0027094
Q9VRJ1 	 FBgn0028962
Q9VXN4 	 FBgn0027093
Q7KN90 	 FBgn0027091
Q9Y105 	 FBgn0027090
P28668 	 FBgn0005674
Q9VFL5 	 FBgn0027083
O16129 	 FBgn0275436
Q9W107 	 FBgn0035064
Q9VSY6 	 FBgn0023129
Q24174 	 FBgn0264442
P29555 	 FBgn0000014
P09087 	 FBgn0000015
P00522 	 FBgn0000017
Q9VU84 	 FBgn0036372
Q9V3C0 	 FBgn0015331
P10083 	 FBgn0000022
Q9VW60 	 FBgn0004852
P49258 	 FBgn0011273
Q9VP61 	 FBgn0012034
P07140 	 FBgn0000024
Q9VLJ6 	 FBgn0016122
P24350 	 FBgn0000028
Q26416 	 FBgn0014454
P10333 	 FBgn0002855
P10334 	 FBgn0002856
O46197 	 FBgn0015583
O46203 	 FBgn0023415
O46227 	 FBgn0267327
Q9V3R1 	 FBgn0011559
O46199 	 FBgn0015584
O46202 	 FBgn0020509
O46200 	 FBgn0015585
Q9VVW1 	 FBgn0015586
P16548 	 FBgn0002863
O46201 	 FBgn0263597
P10987 	 FBgn0000042
P02572 	 FBgn0000043
P53501 	 FBgn0000044
P02574 	 FBgn0000045
P10981 	 FBgn0000046
P83967 	 FBgn0000047
O61643 	 FBgn0024913
P18091 	 FBgn0000667
P56544 	 FBgn0025115
Q9VF36 	 FBgn0038363
Q9VHH7 	 FBgn0037661
Q8I8V0 	 FBgn0037555
Q7K550 	 FBgn0027619
Q9NII1 	 FBgn0026086
Q9V3R6 	 FBgn0028658
P35421 	 FBgn0000052
P00967 	 FBgn0000053
Q9I7S8 	 FBgn0020513
P05552 	 FBgn0000054
P00334 	 FBgn0000055
P91615 	 FBgn0000056
Q6AWN0 	 FBgn0052068
Q9VCY8 	 FBgn0038984
Q9U915 	 FBgn0283494
Q9Y0Y2 	 FBgn0027493
P39413 	 FBgn0005694
Q9UAS6 	 FBgn0026309
Q9VZF4 	 FBgn0041171
Q9VUQ5 	 FBgn0087035
Q7PLK0 	 FBgn0250816
Q27580 	 FBgn0014455
P50245 	 FBgn0015011
Q9VQ79 	 FBgn0031392
Q7JYV7 	 FBgn0033754
P61855 	 FBgn0004552
Q9VS59 	 FBgn0082598
Q8INB9 	 FBgn0010379
Q06453 	 FBgn0000061
P07764 	 FBgn0000064
Q8T8L8 	 FBgn0052076
Q94899 	 FBgn0013746
P35220 	 FBgn0010215
P53624 	 FBgn0259170
Q24451 	 FBgn0011740
Q9W3J5 	 FBgn0030007
Q23983 	 FBgn0250791
P13395 	 FBgn0250789
P04814 	 FBgn0003863
P06606 	 FBgn0087040
P06603 	 FBgn0003884
P06605 	 FBgn0003885
P06604 	 FBgn0003886
Q9VNZ8 	 FBgn0037116
P15364 	 FBgn0000071
P18486 	 FBgn0000075
Q24049 	 FBgn0086782
Q9VPN2 	 FBgn0025686
Q9Y0A7 	 FBgn0003270
Q9U4H5 	 FBgn0000077
P81641 	 FBgn0000078
P08144 	 FBgn0000079
O18408 	 FBgn0020506
Q26307 	 FBgn0011746
Q10714 	 FBgn0012037
Q24239 	 FBgn0016762
P21663 	 FBgn0000094
P02833 	 FBgn0260642
P22464 	 FBgn0000083
P22465 	 FBgn0000084
Q9VXG4 	 FBgn0030749
Q01842 	 FBgn0000097
Q00805 	 FBgn0004569
P29673 	 FBgn0267978
