                          seqname   source      feature    start      end  \
7                              3R  FlyBase  start_codon   835381   835383   
57                             3R  FlyBase  start_codon  3263571  3263573   
105                            3R  FlyBase  start_codon  3322810  3322812   
114                            3R  FlyBase  start_codon  3586977  3586979   
132                            3R  FlyBase  start_codon  3623217  3623219   
144                            3R  FlyBase  start_codon  3735023  3735025   
155                            3R  FlyBase  start_codon  3735023  3735025   
167                            3R  FlyBase  start_codon  3750458  3750460   
177                            3R  FlyBase  start_codon  3846891  3846893   
197                            3R  FlyBase  start_codon  3849528  3849530   
217                            3R  FlyBase  start_codon  3849528  3849530   
236                            3R  FlyBase  start_codon  3846902  3846904   
258                            3R  FlyBase  start_codon  4085479  4085481   
286                            3R  FlyBase  start_codon  4081690  4081692   
313                            3R  FlyBase  start_codon  4085479  4085481   
341                            3R  FlyBase  start_codon  4132920  4132922   
364                            3R  FlyBase  start_codon  4132920  4132922   
386                            3R  FlyBase  start_codon  4135115  4135117   
400                            3R  FlyBase  start_codon  4132920  4132922   
423                            3R  FlyBase  start_codon  4132920  4132922   
442                            3R  FlyBase  start_codon  4132920  4132922   
467                            3R  FlyBase  start_codon  4133365  4133367   
490                            3R  FlyBase  start_codon  4132920  4132922   
516                            3R  FlyBase  start_codon  4135292  4135294   
539                            3R  FlyBase  start_codon  4162205  4162207   
548                            3R  FlyBase  start_codon  4162205  4162207   
559                            3R  FlyBase  start_codon  4175393  4175395   
571                            3R  FlyBase  start_codon  4175393  4175395   
597                            3R  FlyBase  start_codon  4190231  4190233   
607                            3R  FlyBase  start_codon  4198366  4198368   
...                           ...      ...          ...      ...      ...   
537858                          4  FlyBase  start_codon  1199015  1199017   
537879                          4  FlyBase  start_codon  1199015  1199017   
537902                          4  FlyBase  start_codon  1199015  1199017   
537925                          4  FlyBase  start_codon  1219093  1219095   
537948                          4  FlyBase  start_codon  1229971  1229973   
537966                          4  FlyBase  start_codon  1229971  1229973   
537985                          4  FlyBase  start_codon  1229971  1229973   
538004                          4  FlyBase  start_codon  1233170  1233172   
538057                          4  FlyBase  start_codon  1233170  1233172   
538112                          4  FlyBase  start_codon  1233170  1233172   
538167                          4  FlyBase  start_codon  1233170  1233172   
538218                          4  FlyBase  start_codon  1233170  1233172   
538280  dmel_mitochondrion_genome  FlyBase  start_codon      240      242   
538303  dmel_mitochondrion_genome  FlyBase  start_codon     3083     3085   
538314  dmel_mitochondrion_genome  FlyBase  start_codon     3907     3909   
538320  dmel_mitochondrion_genome  FlyBase  start_codon     4062     4064   
538326  dmel_mitochondrion_genome  FlyBase  start_codon     4736     4738   
538335  dmel_mitochondrion_genome  FlyBase  start_codon     5608     5610   
538359  dmel_mitochondrion_genome  FlyBase  start_codon     8122     8124   
538367  dmel_mitochondrion_genome  FlyBase  start_codon     9542     9544   
538372  dmel_mitochondrion_genome  FlyBase  start_codon     9832     9834   
538384  dmel_mitochondrion_genome  FlyBase  start_codon     9970     9972   
538390  dmel_mitochondrion_genome  FlyBase  start_codon    10498    10500   
538399  dmel_mitochondrion_genome  FlyBase  start_codon    12656    12658   
538417        Unmapped_Scaffold_8  FlyBase  start_codon     3574     3576   
538426        Unmapped_Scaffold_8  FlyBase  start_codon    56945    56947   
538443        Unmapped_Scaffold_8  FlyBase  start_codon    56945    56947   
538519            211000022280328  FlyBase  start_codon     9476     9478   
538563            211000022279188  FlyBase  start_codon     1479     1481   
538633            211000022278760  FlyBase  start_codon      877      879   

       score strand frame                                         attributes  
7          .      +     0  gene_id "FBgn0267431"; transcript_id "FBtr0346...  
57         .      -     0  gene_id "FBgn0267430"; transcript_id "FBtr0346...  
105        .      +     0  gene_id "FBgn0086917"; transcript_id "FBtr0300...  
114        .      -     0  gene_id "FBgn0010247"; transcript_id "FBtr0113...  
132        .      +     0  gene_id "FBgn0086378"; transcript_id "FBtr0301...  
144        .      +     0  gene_id "FBgn0263977"; transcript_id "FBtr0113...  
155        .      +     0  gene_id "FBgn0263977"; transcript_id "FBtr0345...  
167        .      +     0  gene_id "FBgn0069923"; transcript_id "FBtr0301...  
177        .      +     0  gene_id "FBgn0039955"; transcript_id "FBtr0113...  
197        .      +     0  gene_id "FBgn0039955"; transcript_id "FBtr0344...  
217        .      +     0  gene_id "FBgn0039955"; transcript_id "FBtr0113...  
236        .      +     0  gene_id "FBgn0039955"; transcript_id "FBtr0113...  
258        .      +     0  gene_id "FBgn0259821"; transcript_id "FBtr0336...  
286        .      +     0  gene_id "FBgn0259821"; transcript_id "FBtr0339...  
313        .      +     0  gene_id "FBgn0259821"; transcript_id "FBtr0301...  
341        .      +     0  gene_id "FBgn0027341"; transcript_id "FBtr0302...  
364        .      +     0  gene_id "FBgn0027341"; transcript_id "FBtr0113...  
386        .      +     0  gene_id "FBgn0027341"; transcript_id "FBtr0302...  
400        .      +     0  gene_id "FBgn0027341"; transcript_id "FBtr0113...  
423        .      +     0  gene_id "FBgn0027341"; transcript_id "FBtr0302...  
442        .      +     0  gene_id "FBgn0027341"; transcript_id "FBtr0302...  
467        .      +     0  gene_id "FBgn0027341"; transcript_id "FBtr0302...  
490        .      +     0  gene_id "FBgn0027341"; transcript_id "FBtr0113...  
516        .      +     0  gene_id "FBgn0027341"; transcript_id "FBtr0113...  
539        .      -     0  gene_id "FBgn0058198"; transcript_id "FBtr0333...  
548        .      -     0  gene_id "FBgn0058198"; transcript_id "FBtr0301...  
559        .      +     0  gene_id "FBgn0037213"; transcript_id "FBtr0078...  
571        .      +     0  gene_id "FBgn0037213"; transcript_id "FBtr0078...  
597        .      -     0  gene_id "FBgn0000500"; transcript_id "FBtr0078...  
607        .      +     0  gene_id "FBgn0037215"; transcript_id "FBtr0336...  
...      ...    ...   ...                                                ...  
537858     .      +     0  gene_id "FBgn0263112"; transcript_id "FBtr0307...  
537879     .      +     0  gene_id "FBgn0263112"; transcript_id "FBtr0307...  
537902     .      +     0  gene_id "FBgn0263112"; transcript_id "FBtr0307...  
537925     .      +     0  gene_id "FBgn0263112"; transcript_id "FBtr0307...  
537948     .      -     0  gene_id "FBgn0027101"; transcript_id "FBtr0100...  
537966     .      -     0  gene_id "FBgn0027101"; transcript_id "FBtr0100...  
537985     .      -     0  gene_id "FBgn0027101"; transcript_id "FBtr0100...  
538004     .      +     0  gene_id "FBgn0053653"; transcript_id "FBtr0091...  
538057     .      +     0  gene_id "FBgn0053653"; transcript_id "FBtr0307...  
538112     .      +     0  gene_id "FBgn0053653"; transcript_id "FBtr0091...  
538167     .      +     0  gene_id "FBgn0053653"; transcript_id "FBtr0333...  
538218     .      +     0  gene_id "FBgn0053653"; transcript_id "FBtr0307...  
538280     .      +     0  gene_id "FBgn0013680"; transcript_id "FBtr0100...  
538303     .      +     0  gene_id "FBgn0013675"; transcript_id "FBtr0100...  
538314     .      +     0  gene_id "FBgn0013673"; transcript_id "FBtr0100...  
538320     .      +     0  gene_id "FBgn0013672"; transcript_id "FBtr0100...  
538326     .      +     0  gene_id "FBgn0013676"; transcript_id "FBtr0100...  
538335     .      +     0  gene_id "FBgn0013681"; transcript_id "FBtr0100...  
538359     .      -     0  gene_id "FBgn0013684"; transcript_id "FBtr0100...  
