#Chromosome	Position	Peak_score	Tags_CTCF	Tags_IgG
chr1	4406940	16.16	37	16
chr1	4758605	22.6433333333	44	5
chr1	4770465	15.3266666667	38	7
chr1	5008170	21.93	45	15
chr1	5173775	38.7933333333	65	13
chr1	6125395	15.5266666667	26	4
chr1	7194945	15.1066666667	41	10
chr1	7387025	36.1733333333	106	10
chr1	7388445	26.2	106	10
chr1	9459735	17.9333333333	38	13
chr1	9531530	48.2066666667	75	5
chr1	9535495	17.7	70	38
chr1	9536065	21.42	70	38
chr1	9563585	16.6533333333	46	10
chr1	10079760	17.56	36	10
chr1	10478540	16.6833333333	37	9
chr1	10749735	17.5533333333	45	9
chr1	11404335	29.4266666667	49	12
chr1	12691985	15.14	34	7
chr1	12827135	15.8	33	5
chr1	12854315	15.57	56	12
chr1	12980410	59.08	131	37
chr1	13040415	19.3966666667	73	18
chr1	13042325	20.6033333333	73	18
chr1	13133120	20.7433333333	47	11
chr1	13580185	28.7333333333	56	9
chr1	13696590	20.8866666667	45	9
chr1	13774650	15.0666666667	36	10
chr1	13779510	32.2366666667	59	16
chr1	14730385	15.1933333333	48	14
chr1	15612110	18.9566666667	40	7
chr1	17113670	31.72	52	7
chr1	17968350	17.2766666667	53	12
chr1	18783865	16.5133333333	34	3
chr1	20544620	18.6466666667	50	8
chr1	20603015	30.77	50	5
chr1	20690320	15.1866666667	25	10
chr1	21208715	40.73	77	9
chr1	21401500	17.1633333333	26	6
chr1	21451320	20.53	35	12
chr1	22259245	18.6966666667	29	5
chr1	23293770	15.0166666667	23	1
chr1	23769805	56.4466666667	103	19
chr1	23799830	21.6266666667	38	8
chr1	24141835	15.9766666667	79	12
chr1	24144255	24.3333333333	79	12
chr1	24256170	19.09	33	7
chr1	24309685	21.9633333333	60	10
chr1	24618600	67.31	970	721
chr1	24619270	72.6933333333	970	721
chr1	24620390	137.21	970	721
chr1	24621280	111.34	970	721
chr1	24685415	26.5833333333	51	11
chr1	24741015	34.2766666667	65	35
chr1	26742950	16.06	44	17
chr1	30977775	19.6566666667	38	12
chr1	33622765	24.6333333333	39	6
chr1	33796330	41.1366666667	173	28
chr1	33799910	47.1266666667	173	28
chr1	34001005	28.91	48	9
chr1	34021570	18.1266666667	81	33
chr1	34023420	18	81	33
chr1	34062630	20.5533333333	48	18
chr1	34118115	23.4866666667	44	9
chr1	34125390	18.3366666667	42	18
chr1	34125450	18.3366666667	42	18
chr1	34150620	17.01	44	8
chr1	34221600	15.3866666667	36	14
chr1	34247050	20.6966666667	51	12
chr1	34275360	20.88	49	9
chr1	34542905	20.7866666667	43	17
chr1	34568130	39.9266666667	64	7
chr1	34659440	38.4166666667	59	5
chr1	34699455	29.5966666667	55	9
chr1	34757685	24.0233333333	48	11
chr1	34795370	23.4433333333	53	9
chr1	34924190	23.4466666667	37	5
chr1	34987115	15.4333333333	38	15
chr1	35442450	27.4133333333	101	18
chr1	35445210	24.9666666667	101	18
chr1	35773000	23.6066666667	58	17
chr1	35896510	24.2866666667	48	13
chr1	35903500	23.0666666667	51	20
chr1	36121980	24.72	51	14
chr1	36191575	23.79	39	12
chr1	36309780	26.29	88	22
chr1	36311630	20.7633333333	88	22
chr1	36326425	16.9666666667	35	17
chr1	36334260	31.1966666667	110	25
chr1	36336270	25.0433333333	110	25
chr1	36381090	19.3433333333	86	29
chr1	36558330	28.96	54	22
chr1	36568385	17.4633333333	38	6
chr1	36604195	63.61	123	19
chr1	36614145	21.7133333333	48	18
chr1	36691995	19.17	50	17
chr1	36741160	19.4966666667	42	12
chr1	36794360	23.63	50	10
chr1	36801590	23.3166666667	97	30
chr1	36803520	26.1633333333	97	30
chr1	36841715	22.6733333333	106	30
chr1	36843395	35.19	106	30
chr1	37289740	33.61	90	36
chr1	37307750	22.2133333333	44	11
chr1	37315565	15.91	41	14
chr1	37329455	34.1566666667	75	9
chr1	37458800	22.1333333333	47	12
chr1	37476465	144.72	205	8
chr1	37691700	18.2233333333	43	10
chr1	37696295	23.13	43	11
chr1	37735395	34.82	73	12
chr1	37988800	16.4066666667	23	2
chr1	38042875	35.4666666667	64	24
chr1	38187040	27.88	41	7
chr1	38242595	29.11	53	13
chr1	38259825	47.9333333333	78	13
chr1	38844505	35.97	87	21
chr1	38856415	27.3533333333	51	7
chr1	38913260	16.5033333333	39	9
chr1	38919240	15.8633333333	29	9
chr1	38993835	23.2066666667	91	9
chr1	39058115	18.5166666667	41	6
chr1	39067730	24.3733333333	40	11
chr1	39449195	37.3366666667	80	23
chr1	39554765	25.6166666667	97	26
chr1	39556515	20.06	97	26
